iter	Logloss
0	0.6893878028
1	0.6864248858
2	0.6835025395
3	0.6801181175
4	0.6770908705
5	0.674091044
6	0.6707684736
7	0.667801311
8	0.6646670243
9	0.661371303
10	0.6587638528
11	0.6551118766
12	0.6518370371
13	0.6486856623
14	0.6452705436
15	0.6419033446
16	0.6389128727
17	0.6364712239
18	0.6335332512
19	0.6312383732
20	0.6280871167
21	0.6249545524
22	0.6217072764
23	0.6182493797
24	0.6156128789
25	0.6129606846
26	0.6100381013
27	0.6068405808
28	0.604031806
29	0.6011142024
30	0.5982741048
31	0.5952092664
32	0.5924074275
33	0.5896833303
34	0.5869415387
35	0.5847452796
36	0.5823596993
37	0.5801074196
38	0.5769279939
39	0.5741095785
40	0.5716482932
41	0.5687185409
42	0.5659254002
43	0.5633644545
44	0.56087068
45	0.557997067
46	0.5553004831
47	0.5530247262
48	0.5510103449
49	0.5489985571
50	0.5462129839
51	0.5436192652
52	0.5412297074
53	0.5385549341
54	0.535840665
55	0.5339831873
56	0.5316921397
57	0.5294478212
58	0.5267867421
59	0.5240966036
60	0.5217713353
61	0.5197470673
62	0.5174743635
63	0.5150010835
64	0.5128923887
65	0.5104535754
66	0.5084360183
67	0.5064248148
68	0.5041075631
69	0.5019565966
70	0.5000464072
71	0.4978432967
72	0.4953262179
73	0.4928957923
74	0.4907098165
75	0.4885931868
76	0.4861223318
77	0.4848307636
78	0.4827415988
79	0.4802978775
80	0.4783331116
81	0.4761772527
82	0.4741683878
83	0.4719208588
84	0.4694781924
85	0.4676495246
86	0.4658987334
87	0.4639571285
88	0.461520334
89	0.4594898697
90	0.4572396316
91	0.4555271284
92	0.4536111594
93	0.4514801713
94	0.449816477
95	0.4478233845
96	0.4460247302
97	0.4442386118
98	0.4425035554
99	0.4407983856
100	0.4388202989
101	0.4369565628
102	0.4350226885
103	0.4332097933
104	0.4315331827
105	0.4296745295
106	0.4279076012
107	0.4260860612
108	0.4248665748
109	0.4229797698
110	0.4211710372
111	0.4194718704
112	0.4177928641
113	0.4159928679
114	0.4142740133
115	0.4120749654
116	0.4102771792
117	0.4086705599
118	0.4067121846
119	0.4050466351
120	0.4033983345
121	0.4014972688
122	0.4001102102
123	0.3982110747
124	0.3966107811
125	0.3952398791
126	0.3935243533
127	0.3920089175
128	0.3901307527
129	0.3884855468
130	0.3870282484
131	0.3857570538
132	0.3841929879
133	0.382607486
134	0.3811213259
135	0.37965402
136	0.3781293039
137	0.3767159889
138	0.3752728539
139	0.3737605845
140	0.3727141166
141	0.3712585882
142	0.3699891794
143	0.3684951778
144	0.3671401279
145	0.3656301857
146	0.3642828552
147	0.362808016
148	0.3616303327
149	0.3601654467
150	0.3591256657
151	0.3579864259
152	0.356608597
153	0.3554886464
154	0.3538267182
155	0.3523016159
156	0.3506780592
157	0.3491437216
158	0.3477051052
159	0.3462901624
160	0.344946838
161	0.3434044867
162	0.3418752938
163	0.3404678421
164	0.3394091002
165	0.3383498609
166	0.3371803589
167	0.3359136501
168	0.3345904187
169	0.332845468
170	0.3313892793
171	0.3302788241
172	0.3290904879
173	0.3281518008
174	0.3268725673
175	0.3255485269
176	0.3242164632
177	0.3231253377
178	0.322121278
179	0.3208399396
180	0.3196210255
181	0.3184164975
182	0.3173383076
183	0.3160836438
184	0.3148821603
185	0.31369818
186	0.3125526604
187	0.3113435456
188	0.3102950671
189	0.3092698867
190	0.3079463341
191	0.3069516109
192	0.3057197609
193	0.3046852432
194	0.3034609606
195	0.3021561467
196	0.3010187346
197	0.2999806521
198	0.2988179482
199	0.2976801446
200	0.2965267524
201	0.2957134244
202	0.294882996
203	0.2939901899
204	0.2928543349
205	0.291747318
206	0.2908381459
207	0.2898109767
208	0.2890284749
209	0.288049777
210	0.2869171579
211	0.2859665302
212	0.2848438406
213	0.2839324653
214	0.2831748716
215	0.2823477409
216	0.2812213196
217	0.2801619296
218	0.2793854878
219	0.278423079
220	0.2771700734
221	0.2763989274
222	0.2753971218
223	0.2745176245
224	0.2737268713
225	0.2728447868
226	0.2720695758
227	0.2711877695
228	0.2701210985
229	0.2693126158
230	0.2686400385
231	0.2679466777
232	0.2670148133
233	0.2660024619
234	0.2650388823
235	0.2641813869
236	0.2631958735
237	0.2624141296
238	0.2615327699
239	0.2606618394
240	0.2599727059
241	0.2591948117
242	0.258412338
243	0.2574620053
244	0.256629823
245	0.2557924637
246	0.2548573096
247	0.254109518
248	0.2531839699
249	0.2525762961
250	0.2518488603
251	0.2509223442
